Date,HomeTeam,HomeForm,AwayTeam,AwayForm,HomeScore,AwayScore,HomeOdds,DrawOdds,AwayOdds
2025-11-01,Los Chankas,,Ayacucho,,1,0,2.15,3.2,2.95
2025-10-31,Alianza Lima,,Melgar,,2,2,1.83,3.35,3.95
2025-10-26,Melgar,,Sport Huancayo,,2,0,1.46,4.3,6.59
2025-10-26,ADT,,Universitario,,1,2,3.5,3.2,2.05
2025-10-26,UTC Cajamarca,,Alianza Universidad,,3,2,2.01,3.25,3.15
2025-10-26,Sporting Cristal,,Los Chankas,,0,1,1.25,7.23,8.2
2025-10-25,Real Garcilaso,,Atlético Grau,,1,0,1.35,3.95,7
2025-10-25,Alianza Atlético,,Cienciano,,0,1,2.05,3.25,3.5
2025-10-25,Ayacucho,,Deportivo Garcilaso,,4,2,2.2,3,3
2025-10-24,Juan Pablo II College,,Comerciantes Unidos,,0,1,1.83,3.2,4.25
2025-10-23,Sporting Cristal,,Universitario,,0,1,3.1,2.66,2.2
2025-10-20,Universitario,,Ayacucho,,2,1,1.11,8.75,33
2025-10-20,Sport Boys,,Melgar,,1,0,3.41,3.25,2.1
2025-10-20,Sport Huancayo,,Alianza Lima,,1,2,2.5,3.1,2.75
2025-10-19,Deportivo Garcilaso,,Sporting Cristal,,0,1,2.16,3.45,2.83
2025-10-19,Atlético Grau,,UTC Cajamarca,,0,2,1.43,4.1,5.85
2025-10-18,Cienciano,,Real Garcilaso,,1,2,2.3,3.1,3
2025-10-18,Comerciantes Unidos,,Alianza Atlético,,1,0,2.3,2.91,3.11
2025-10-18,Los Chankas,,Juan Pablo II College,,1,0,1.63,3.66,3.68
2025-10-16,Alianza Lima,,Sport Boys,,3,1,1.44,4,6.25
2025-10-14,Melgar,,Alianza Universidad,,2,1,1.28,5,8
2025-10-13,Juan Pablo II College,,Deportivo Garcilaso,,0,1,2,3.2,3.51
2025-10-13,UTC Cajamarca,,Cienciano,,0,2,2.85,3.2,2.22
2025-10-12,Real Garcilaso,,Comerciantes Unidos,,1,1,1.45,4.1,6.25
2025-10-12,Alianza Atlético,,Los Chankas,,1,0,1.53,4.15,5.6
2025-10-12,Ayacucho,,ADT,,2,2,2.55,3.05,2.65
2025-10-05,Universitario,,Juan Pablo II College,,3,0,1.16,6.7,14.5
2025-10-05,Deportivo Garcilaso,,Alianza Atlético,,2,4,1.55,3.19,5
2025-10-05,Atlético Grau,,Melgar,,0,0,2.3,2.85,2.8
2025-10-05,Alianza Universidad,,Alianza Lima,,2,1,3.75,3.37,2
2025-10-04,Sport Boys,,Sport Huancayo,,2,1,1.93,3.3,3.4
2025-10-04,ADT,,Sporting Cristal,,3,2,2.09,3.1,3.52
2025-10-04,Los Chankas,,Real Garcilaso,,2,1,2.7,3.2,2.25
2025-10-03,Comerciantes Unidos,,UTC Cajamarca,,2,1,2.3,3.05,3.1
2025-10-02,Melgar,,Cienciano,,2,0,1.74,3.6,3.75
2025-10-01,Alianza Lima,,Atlético Grau,,2,1,1.37,5.2,6.4
2025-10-01,Alianza Atlético,,Universitario,,0,2,5.7,3.4,1.63
2025-09-30,Real Garcilaso,,Deportivo Garcilaso,,4,0,1.95,3.3,3.2
2025-09-30,Juan Pablo II College,,ADT,,1,1,2.42,3,3.25
2025-09-30,Sport Huancayo,,Alianza Universidad,,5,1,1.55,4.05,5.3
2025-09-29,Sporting Cristal,,Ayacucho,,3,0,1.18,5.25,8.5
2025-09-29,UTC Cajamarca,,Los Chankas,,2,0,2.3,3.48,2.95
2025-09-28,Cienciano,,Alianza Lima,,2,1,2.1,3.25,3.5
2025-09-27,Universitario,,Real Garcilaso,,3,2,1.36,4.2,7.8
2025-09-27,Comerciantes Unidos,,Melgar,,1,1,4.59,3.55,1.66
2025-09-29,Sporting Cristal,,César Vallejo,,4,1,1.39,4.33,6.3
2025-09-28,Alianza Lima,,Melgar,,1,1,1.67,3.5,5.75
2025-09-28,Cienciano,,Real Garcilaso,,1,2,2.6,2.9,2.5
2025-09-27,ADT,,Alianza Atlético,,0,1,1.55,3.9,6
2025-09-27,Unión Comercio,,Sport Boys,,0,2,2.8,3,2.4
2025-09-24,UTC Cajamarca,,Carlos Manucci,,2,0,1.55,3.79,5.25
2025-09-23,Melgar,,Atlético Grau,,0,0,1.38,4.47,7.91
2025-09-23,Sport Huancayo,,Los Chankas,,3,1,1.78,3.43,4.06
2025-09-23,Alianza Atlético,,Comerciantes Unidos,,1,0,1.49,4.05,6.29
2025-09-22,César Vallejo,,ADT,,0,0,2.16,3.23,3.29
2025-09-22,Universitario,,Unión Comercio,,1,0,1.09,9.41,22.1
2025-09-22,Real Garcilaso,,Sporting Cristal,,1,1,2.04,3.33,3.22
2025-09-21,Sport Boys,,Alianza Lima,,0,3,4.44,3.34,1.73
2025-09-21,Deportivo Garcilaso,,Cienciano,,1,2,2.06,3.23,3.54
2025-09-19,Carlos Manucci,,Melgar,,1,1,5.37,3.62,1.57
2025-09-19,Los Chankas,,UTC Cajamarca,,1,1,1.59,3.88,4.69
2025-09-19,Unión Comercio,,Alianza Atlético,,1,2,2.46,3.13,2.84
2025-09-18,Universitario,,Sport Boys,,3,0,1.27,5.21,10.25
2025-09-18,Cienciano,,Sport Huancayo,,3,1,2.01,3.23,3.7
2025-09-18,Comerciantes Unidos,,César Vallejo,,2,0,2.36,3.08,2.79
2025-09-18,Atlético Grau,,Alianza Lima,,1,0,3.39,2.89,2.17
2025-09-17,ADT,,Real Garcilaso,,1,2,1.78,3.6,3.8
2025-09-17,Sporting Cristal,,Deportivo Garcilaso,,1,0,1.28,5.25,7
2025-09-15,Melgar,,Los Chankas,,2,0,1.22,5.13,8.38
2025-09-15,Alianza Atlético,,Universitario,,0,3,3.7,3.1,2.1
2025-09-14,Alianza Lima,,Carlos Manucci,,1,0,1.17,7,13
2025-09-14,Sport Huancayo,,Sporting Cristal,,1,2,2.6,3.3,2.5
2025-09-14,Sport Boys,,Atlético Grau,,0,0,2.5,3.1,2.63
2025-09-14,Real Garcilaso,,Comerciantes Unidos,,2,1,1.29,4.75,10
2025-09-13,César Vallejo,,Unión Comercio,,1,0,1.4,4.33,7
2025-09-13,Deportivo Garcilaso,,ADT,,1,0,2.4,3.2,2.8
2025-09-13,UTC Cajamarca,,Cienciano,,1,2,2.2,3.2,3.1
2025-09-07,Melgar,,Comerciantes Unidos,,3,0,1.15,6.5,12
2025-09-01,Unión Comercio,,Atlético Grau,,1,2,2.62,3.1,2.5
2025-08-26,Carlos Manucci,,Atlético Grau,,1,1,2.7,3.1,2.4
2025-08-26,Unión Comercio,,Real Garcilaso,,3,3,2.6,2.95,2.6
2025-08-25,Cienciano,,Melgar,,3,1,3.23,3.12,2.09
2025-08-25,Comerciantes Unidos,,Deportivo Garcilaso,,2,1,3,3.17,2.17
2025-08-25,ADT,,Sport Huancayo,,2,1,1.59,3.65,4.85
2025-08-25,Sporting Cristal,,UTC Cajamarca,,4,0,1.24,5.25,8.85
2025-08-24,Universitario,,César Vallejo,,1,0,1.31,4.37,8.45
2025-08-24,Los Chankas,,Alianza Lima,,0,1,2.97,3.23,2.16
2025-08-24,Alianza Atlético,,Sport Boys,,2,0,1.94,3.32,4.46
2025-08-21,Melgar,,Sporting Cristal,,2,0,1.6,3.95,5.02
2025-08-21,Deportivo Garcilaso,,Unión Comercio,,3,1,1.4,4.42,6.21
2025-08-21,Atlético Grau,,Los Chankas,,1,1,1.53,3.86,5.33
2025-08-21,Sport Boys,,Carlos Manucci,,2,6,1.66,3.54,4.65
2025-08-20,Alianza Lima,,Cienciano,,3,0,1.27,5.32,10.26
2025-08-20,Real Garcilaso,,Universitario,,1,1,2.88,3,2.51
2025-08-20,Sport Huancayo,,Comerciantes Unidos,,2,2,1.44,4.12,6.03
2025-08-20,UTC Cajamarca,,ADT,,1,1,2.94,3.22,2.34
2025-08-19,César Vallejo,,Alianza Atlético,,0,0,1.88,3.32,4.06
2025-08-18,Los Chankas,,Carlos Manucci,,1,1,1.48,4,5.75
2025-08-17,Sporting Cristal,,Alianza Lima,,0,0,2.2,3.1,3
2025-08-17,Cienciano,,Atlético Grau,,1,0,1.78,3.3,4.2
2025-08-17,Unión Comercio,,Sport Huancayo,,0,1,2,3.1,3.5
2025-08-16,Universitario,,Deportivo Garcilaso,,3,1,1.13,6.7,14
2025-08-16,César Vallejo,,Sport Boys,,2,2,2,3.2,3.4
2025-08-16,ADT,,Melgar,,1,1,2.4,3,3
2025-08-15,Comerciantes Unidos,,UTC Cajamarca,,1,1,2.25,3.19,3.12
2025-08-15,Alianza Atlético,,Real Garcilaso,,1,1,2.14,2.98,3.37
2025-08-11,Real Garcilaso,,César Vallejo,,2,1,1.5,3.78,5.72
2025-08-11,Sport Huancayo,,Universitario,,1,1,3.06,3.07,2.23
2025-08-11,Carlos Manucci,,Cienciano,,1,2,2.1,3,3.3
2025-08-11,Atlético Grau,,Sporting Cristal,,1,1,2.62,3.3,2.38
2025-08-10,Alianza Lima,,ADT,,0,0,1.41,3.93,6.9
2025-08-10,Deportivo Garcilaso,,Alianza Atlético,,0,1,1.47,3.86,5.97
2025-08-10,Sport Boys,,Los Chankas,,2,1,1.67,3.6,4.5
2025-08-09,UTC Cajamarca,,Unión Comercio,,3,1,1.57,3.6,5.25
2025-08-05,Real Garcilaso,,Sport Boys,,3,1,1.34,4.23,7.85
2025-08-05,Alianza Atlético,,Sport Huancayo,,1,1,1.77,3.33,4.24
2025-08-04,Universitario,,UTC Cajamarca,,1,0,1.16,5.42,10.64
2025-08-04,ADT,,Atlético Grau,,1,2,1.68,3.45,4.59
2025-08-04,Unión Comercio,,Melgar,,2,1,4.44,3.4,1.66
2025-08-04,Sporting Cristal,,Carlos Manucci,,4,0,1.18,6.26,10.65
2025-08-03,César Vallejo,,Deportivo Garcilaso,,0,2,1.73,3.41,4.38
2025-08-03,Cienciano,,Los Chankas,,0,0,1.84,3.53,3.65
2025-08-03,Comerciantes Unidos,,Alianza Lima,,1,3,4.92,3.66,1.6
2025-08-01,UTC Cajamarca,,Alianza Atlético,,1,1,1.56,3.65,6.16
2025-07-31,Melgar,,Universitario,,1,0,1.91,2.99,4.09
2025-07-27,Melgar,,Real Garcilaso,,0,2,1.6,3.75,4.75
2025-07-26,Cienciano,,Universitario,,1,1,2.25,3.05,2.32
2025-07-26,Sport Boys,,Sporting Cristal,,0,2,4.38,3.5,1.65
2025-07-26,Alianza Universidad,,Ayacucho,,1,2,1.75,3.5,4.5
2025-07-25,Deportivo Binacional,,UTC Cajamarca,,0,0,1.8,3.25,3.73
2025-07-25,Sport Huancayo,,Juan Pablo II College,,5,1,1.37,4.6,8.6
2025-07-20,Juan Pablo II College,,Sport Boys,,3,0,1.96,3.03,4.08
2025-07-20,Ayacucho,,Atlético Grau,,1,2,2.61,3,2.88
2025-07-20,Sporting Cristal,,Alianza Universidad,,3,0,1.22,5.9,10.74
2025-07-19,Real Garcilaso,,Alianza Lima,,2,0,1.8,3.4,4.5
2025-07-19,ADT,,Cienciano,,1,0,2.15,3.2,3
2025-07-19,UTC Cajamarca,,Melgar,,1,2,3.25,3.2,1.95
2025-07-18,Universitario,,Comerciantes Unidos,,3,1,1.05,11,33
2025-07-18,Deportivo Garcilaso,,Los Chankas,,3,0,2.08,3.35,3.8
2025-07-18,Alianza Atlético,,Sport Huancayo,,0,0,1.59,3.25,4.3
2025-07-13,Real Garcilaso,,Sport Huancayo,,3,0,1.96,3.15,4.08
2025-07-13,Juan Pablo II College,,Alianza Universidad,,1,0,1.98,3.42,4.13
2025-07-13,Ayacucho,,Cienciano,,1,0,3,3.36,2.18
2025-07-13,Sporting Cristal,,Atlético Grau,,2,1,1.5,3.7,6.05
2025-07-12,Alianza Atlético,,Sport Boys,,1,0,1.63,3.5,5.5
2025-07-12,Universitario,,Los Chankas,,0,0,1.08,8.75,26
2025-07-12,UTC Cajamarca,,Alianza Lima,,1,0,6.3,3.7,1.5
2025-07-12,Deportivo Binacional,,Melgar,,1,1,5.5,3.78,1.57
2025-07-11,ADT,,Comerciantes Unidos,,1,0,1.38,5,7.67
2025-07-06,Deportivo Garcilaso,,Universitario,,0,1,3.25,3.4,2.15
2025-07-06,Atlético Grau,,Juan Pablo II College,,2,0,2.5,3.2,2.6
2025-07-06,Sport Boys,,Real Garcilaso,,1,2,1.91,3.45,3.4
2025-07-05,Alianza Lima,,Deportivo Binacional,,5,1,1.08,9.4,15
2025-07-05,Alianza Universidad,,Alianza Atlético,,2,0,2.65,3,2.6
2025-07-05,Cienciano,,Sporting Cristal,,1,1,1.9,3.53,3.35
2025-07-05,Comerciantes Unidos,,Ayacucho,,0,1,1.95,3.2,3.05
2025-07-04,Los Chankas,,ADT,,1,1,2.52,3.25,2.6
2025-07-04,Sport Huancayo,,UTC Cajamarca,,1,0,1.5,4.18,6.25
2025-07-02,Juan Pablo II College,,Melgar,,1,1,4.42,3.1,1.99
2025-06-29,Real Garcilaso,,Alianza Universidad,,4,1,1.5,4.33,6
2025-06-29,Alianza Atlético,,Atlético Grau,,2,1,2.2,3.3,3.7
2025-06-29,Sporting Cristal,,Comerciantes Unidos,,2,0,1.18,7,13
2025-06-28,Melgar,,Alianza Lima,,0,1,1.83,3.25,4.5
2025-06-28,UTC Cajamarca,,Sport Boys,,1,1,2.2,3.2,3.3
2025-06-28,ADT,,Deportivo Garcilaso,,0,0,1.73,3.7,4.75
2025-06-27,Deportivo Binacional,,Sport Huancayo,,1,0,3.1,3.5,2.15
2025-06-27,Juan Pablo II College,,Cienciano,,2,2,2.1,3.2,3.3
2025-06-27,Ayacucho,,Los Chankas,,1,2,1.9,3.5,3.9
2025-06-25,Atlético Grau,,Universitario,,0,2,7,3.5,1.57
2025-06-22,Cienciano,,Alianza Atlético,,3,2,1.57,3.7,6.25
2025-06-22,Comerciantes Unidos,,Juan Pablo II College,,3,0,2.2,3.1,3.3
2025-06-22,Sport Boys,,Deportivo Binacional,,3,1,1.33,5,8.5
2025-06-21,Deportivo Garcilaso,,Ayacucho,,2,1,1.45,4.5,7
2025-06-21,Los Chankas,,Sporting Cristal,,3,1,3.1,3.4,2.2
2025-06-21,Sport Huancayo,,Melgar,,2,2,1.91,3.6,3.7
2025-06-20,Universitario,,ADT,,5,0,1.27,5.75,7.5
2025-06-20,Alianza Universidad,,UTC Cajamarca,,1,2,1.65,3.6,5.5
2025-06-19,Atlético Grau,,Real Garcilaso,,0,0,1.7,3.5,5
2025-06-18,Comerciantes Unidos,,Alianza Lima,,0,1,8.5,5.5,1.29
2025-06-15,Deportivo Binacional,,Alianza Universidad,,1,1,2.25,3.6,2.88
2025-06-15,Ayacucho,,Universitario,,0,1,5.25,3.9,1.62
2025-06-15,Sporting Cristal,,Deportivo Garcilaso,,3,2,1.33,4.75,10
2025-06-14,Alianza Lima,,Sport Huancayo,,0,0,1.38,4.5,9
2025-06-14,Juan Pablo II College,,Los Chankas,,3,0,1.83,3.25,5.5
2025-06-14,Melgar,,Sport Boys,,2,1,1.25,5.5,10
2025-06-13,Real Garcilaso,,Cienciano,,0,0,2.5,3.4,2.75
2025-06-13,UTC Cajamarca,,Atlético Grau,,0,2,2.88,2.9,2.6
2025-06-12,Alianza Atlético,,Comerciantes Unidos,,3,0,1.36,4.5,9
2025-06-01,Los Chankas,,Alianza Atlético,,1,2,1.95,3.25,3.9
2025-05-25,Deportivo Garcilaso,,Juan Pablo II College,,4,0,1.36,4.75,7
2025-05-25,ADT,,Ayacucho,,0,1,1.36,5,7.5
2025-05-24,Cienciano,,UTC Cajamarca,,6,1,1.33,4.75,8
2025-05-24,Atlético Grau,,Deportivo Binacional,,3,0,1.29,5.5,9
2025-05-24,Comerciantes Unidos,,Real Garcilaso,,1,2,3,3.6,2.2
2025-05-23,Sport Boys,,Alianza Lima,,0,1,4.2,3.4,1.9
2025-05-23,Alianza Universidad,,Melgar,,1,1,3.3,3.2,2.15
2025-05-22,Universitario,,Sporting Cristal,,2,0,1.83,3.4,4.33
2025-05-20,Cienciano,,Universitario,,0,0,2.63,3.25,2.55
2025-05-20,UTC Cajamarca,,Sport Boys,,2,4,1.59,3.66,5.73
2025-05-19,Alianza Lima,,Alianza Universidad,,2,0,1.29,5,11
2025-05-19,Deportivo Binacional,,Cienciano,,1,1,3.4,3.4,2.1
2025-05-18,Melgar,,Atlético Grau,,1,1,1.42,4.2,8
2025-05-18,Juan Pablo II College,,Universitario,,2,0,12,6,1.2
2025-05-18,Sport Huancayo,,Sport Boys,,1,0,1.53,4.2,5.75
2025-05-17,Real Garcilaso,,Los Chankas,,3,3,1.55,4.1,5.25
2025-05-17,Sporting Cristal,,ADT,,2,1,1.36,4.75,8
2025-05-17,UTC Cajamarca,,Comerciantes Unidos,,2,0,2,3.3,3.8
2025-05-16,Alianza Atlético,,Deportivo Garcilaso,,1,0,1.75,3.3,4.75
2025-05-12,Alianza Universidad,,Sport Huancayo,,0,1,2.1,3.5,3
2025-05-11,Universitario,,Alianza Atlético,,0,1,1.42,4.5,7
2025-05-11,Deportivo Garcilaso,,Real Garcilaso,,1,3,2.63,2.88,2.9
2025-05-11,ADT,,Juan Pablo II College,,2,2,1.33,5.25,7.5
2025-05-11,Los Chankas,,UTC Cajamarca,,2,1,1.7,3.5,4.75
2025-05-10,Cienciano,,Melgar,,1,2,2.88,3.2,2.5
2025-05-10,Atlético Grau,,Alianza Lima,,1,1,5,3.5,1.7
2025-05-10,Ayacucho,,Sporting Cristal,,1,4,1.9,3.4,3.6
2025-05-09,Comerciantes Unidos,,Deportivo Binacional,,1,1,1.75,3.4,4.75
2025-05-06,Atlético Grau,,Sport Huancayo,,0,0,1.5,3.77,5.95
2025-05-05,Melgar,,Sport Boys,,2,1,1.2,6,13
2025-05-05,Sporting Cristal,,Alianza Atlético,,2,1,1.1,9,16
2025-05-04,Comerciantes Unidos,,Unión Comercio,,3,1,1.7,3.8,4.5
2025-05-04,Carlos Manucci,,Deportivo Garcilaso,,1,1,2.15,3.4,3.2
2025-05-04,Los Chankas,,Real Garcilaso,,2,0,2.08,3.45,3.25
2025-05-03,Alianza Lima,,UTC Cajamarca,,1,0,1.22,4.65,9.67
2025-05-03,Cienciano,,César Vallejo,,1,1,1.57,3.46,4.68
2025-05-03,ADT,,Universitario,,2,0,2.88,3.07,2.14
2025-04-29,César Vallejo,,Sporting Cristal,,2,1,3.75,3.5,1.95
2025-04-28,Universitario,,Comerciantes Unidos,,6,0,1.17,7,12
2025-04-28,Deportivo Garcilaso,,Los Chankas,,1,1,1.57,4,5.25
2025-04-28,Melgar,,Alianza Lima,,1,2,1.94,3.15,3.24
2025-04-28,Alianza Atlético,,ADT,,1,2,2.3,2.99,2.7
2025-04-27,Real Garcilaso,,Cienciano,,2,0,2.25,3.05,2.72
2025-04-27,UTC Cajamarca,,Atlético Grau,,3,2,1.88,3.13,3.48
2025-04-27,Sport Boys,,Unión Comercio,,0,0,1.62,3.6,6
2025-04-26,Sport Huancayo,,Carlos Manucci,,1,0,1.4,4.5,7
2025-04-23,Comerciantes Unidos,,Alianza Atlético,,0,0,1.98,3.15,3.15
2025-04-21,Atlético Grau,,Melgar,,1,2,2.48,3,2.48
2025-04-20,Sport Huancayo,,Comerciantes Unidos,,4,2,1.36,4.75,8.5
2025-04-20,UTC Cajamarca,,ADT,,0,1,2.9,3.1,2.35
2025-04-19,Real Garcilaso,,Ayacucho,,3,0,1.45,4,7.5
2025-04-19,Alianza Atlético,,Sporting Cristal,,1,0,3.3,3.5,2.05
2025-04-19,Sport Boys,,Cienciano,,2,2,1.73,3.6,4.75
2025-04-18,Alianza Lima,,Los Chankas,,1,0,1.3,6,7.5
2025-04-18,Deportivo Binacional,,Universitario,,1,3,2.9,3.25,2.35
2025-04-18,Melgar,,Deportivo Garcilaso,,1,2,1.53,3.8,6.5
2025-04-17,Alianza Universidad,,Atlético Grau,,0,0,2.4,3.1,3
2025-04-14,Deportivo Garcilaso,,Alianza Lima,,0,1,2.15,3,3.6
2025-04-13,Universitario,,Melgar,,4,1,1.83,3.2,4.75
2025-04-13,ADT,,Deportivo Binacional,,1,1,1.29,5.25,10
2025-04-13,Comerciantes Unidos,,Sport Boys,,0,4,2.2,3.2,3.25
2025-04-13,Sporting Cristal,,Real Garcilaso,,1,0,1.4,4.33,8
2025-04-12,Cienciano,,Alianza Universidad,,0,1,1.48,4.33,5.75
2025-04-12,Juan Pablo II College,,Alianza Atlético,,1,0,2.75,3.3,2.45
2025-04-11,Los Chankas,,Sport Huancayo,,1,3,2.35,3.2,3
2025-04-11,Ayacucho,,UTC Cajamarca,,0,1,1.9,3.5,4
2025-04-06,Alianza Universidad,,Comerciantes Unidos,,0,2,1.65,3.7,5.25
2025-04-06,UTC Cajamarca,,Sporting Cristal,,4,1,2.63,3.8,2.3
2025-04-06,Sport Boys,,Los Chankas,,1,1,1.6,3.8,5.5
2025-04-06,Real Garcilaso,,Juan Pablo II College,,4,2,1.25,6,11
2025-04-05,Alianza Lima,,Universitario,,1,1,2.3,3.25,3.1
2025-04-05,Melgar,,ADT,,4,0,1.48,4,7
2025-04-05,Atlético Grau,,Cienciano,,1,1,1.62,3.7,5.5
2025-04-04,Sport Huancayo,,Deportivo Garcilaso,,0,3,2.05,3.2,3.6
2025-04-04,Deportivo Binacional,,Ayacucho,,1,1,1.7,4,4.33
2025-03-30,Juan Pablo II College,,UTC Cajamarca,,4,2,2.1,3.2,3.5
2025-03-30,Los Chankas,,Alianza Universidad,,3,1,1.91,3.4,3.7
2025-03-29,Deportivo Garcilaso,,Sport Boys,,4,0,1.45,3.9,7
2025-03-29,Sporting Cristal,,Deportivo Binacional,,5,0,1.11,7.5,17
2025-03-29,ADT,,Alianza Lima,,3,0,1.48,3.9,6
2025-03-28,Universitario,,Sport Huancayo,,3,1,1.27,4.75,12
2025-03-28,Alianza Atlético,,Real Garcilaso,,2,4,1.67,3.3,5
2025-03-27,Ayacucho,,Melgar,,2,3,5,3.7,1.57
2025-03-27,Comerciantes Unidos,,Atlético Grau,,2,2,3.1,3.1,2.25
2025-03-23,Los Chankas,,Cienciano,,0,0,2.55,3.4,2.6
2025-03-10,Deportivo Binacional,,Juan Pablo II College,,2,0,1.3,5,10
2025-03-10,Atlético Grau,,Los Chankas,,2,1,1.38,4.33,8
2025-03-09,Cienciano,,Comerciantes Unidos,,3,2,1.4,5,6
2025-03-09,Sport Boys,,Universitario,,0,2,6.5,4.1,1.48
2025-03-08,Melgar,,Sporting Cristal,,1,0,1.75,3.8,4
2025-03-08,Sport Huancayo,,ADT,,2,1,2.15,3.2,3.5
2025-03-08,UTC Cajamarca,,Alianza Atlético,,0,0,2.2,2.9,3.5
2025-03-07,Alianza Lima,,Ayacucho,,2,0,1.22,5.75,12
2025-03-07,Alianza Universidad,,Deportivo Garcilaso,,0,0,2.2,3.4,3.1
2025-03-02,Universitario,,Alianza Universidad,,4,0,1.18,6.25,15
2025-03-02,Ayacucho,,Sport Huancayo,,1,1,2.63,3.5,2.45
2025-03-01,Sporting Cristal,,Alianza Lima,,1,2,1.85,3.4,4.5
2025-03-01,Alianza Atlético,,Deportivo Binacional,,4,1,1.42,4,8
2025-03-01,Real Garcilaso,,UTC Cajamarca,,1,1,1.38,4.33,8.5
2025-02-28,Deportivo Garcilaso,,Atlético Grau,,2,0,1.73,3.5,5
2025-02-27,ADT,,Sport Boys,,2,2,1.44,4.5,6.5
2025-02-24,Deportivo Binacional,,Real Garcilaso,,1,2,2.25,3.3,3.1
2025-02-23,Melgar,,Alianza Atlético,,2,1,1.33,4.75,8.5
2025-02-23,Alianza Universidad,,ADT,,2,3,2.2,3.2,3.25
2025-02-22,Cienciano,,Deportivo Garcilaso,,2,3,2.45,3.2,2.8
2025-02-22,Sport Huancayo,,Sporting Cristal,,1,1,2.5,3.4,2.63
2025-02-22,Sport Boys,,Ayacucho,,2,1,1.67,3.8,4.75
2025-02-22,Comerciantes Unidos,,Los Chankas,,1,1,2.25,3.2,3.2
2025-02-21,Alianza Lima,,Juan Pablo II College,,1,0,1.2,5.5,11
2025-02-17,Ayacucho,,Alianza Universidad,,3,2,2.6,2.88,2.9
2025-02-16,Deportivo Garcilaso,,Comerciantes Unidos,,2,1,1.3,5.25,9
2025-02-16,Juan Pablo II College,,Sport Huancayo,,0,1,2.8,3.1,2.6
2025-02-16,Sporting Cristal,,Sport Boys,,2,1,1.38,4.33,8
2025-02-15,Universitario,,Cienciano,,3,2,1.25,5,15
2025-02-15,Alianza Atlético,,Alianza Lima,,3,1,5.25,3.4,1.7
2025-02-15,ADT,,Atlético Grau,,4,3,1.67,3.7,5.25
2025-02-15,UTC Cajamarca,,Deportivo Binacional,,0,4,1.67,3.5,5.5
2025-02-14,Real Garcilaso,,Melgar,,0,1,2.8,3.3,2.4
2025-02-10,Los Chankas,,Deportivo Garcilaso,,2,2,2.7,3.1,2.7
2025-02-09,Cienciano,,ADT,,2,2,2,3.5,3.5
2025-02-09,Comerciantes Unidos,,Universitario,,1,1,7,3.4,1.57
2025-02-09,Sport Boys,,Juan Pablo II College,,1,0,1.57,4.1,5.25
2025-02-09,Alianza Universidad,,Sporting Cristal,,2,2,4.33,3.4,1.9
2025-02-08,Alianza Lima,,Real Garcilaso,,3,0,1.38,4.5,8
2025-02-08,Atlético Grau,,Ayacucho,,1,0,1.33,5.25,8
2025-02-08,Melgar,,UTC Cajamarca,,3,0,1.17,7,12
2025-02-07,Sport Huancayo,,Alianza Atlético,,2,1,1.5,4,6.5
